"ID","DocType","Field Type","Is System Generated","Module (for export)","Label","Placeholder","Fieldname","Insert After","Length","Link Filters","Precision","Hide Seconds","Hide Days","Options","Sort Options","Fetch From","Fetch on Save if Empty","Collapsible","Collapsible Depends On","Default Value","Depends On","Mandatory Depends On","Read Only Depends On","Non Negative","Is Mandatory Field","Unique","Is Virtual","Read Only","Ignore User Permissions","Hidden","Print Hide","Print Hide If No Value","Print Width","No Copy","Allow on Submit","In List View","In Standard Filter","In Global Search","In Preview","Bold","Report Hide","Index","Allow in Quick Entry","Ignore XSS Filter","Translatable","Hide Border","Show Dashboard","Field Description","Permission Level","Width","Columns"
"Project-custom_project_documents","Project","Section Break",0,"","Project Documents","","custom_project_documents","custom_team_members",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Sales Order-custom_project_manager","Sales Order","Link",0,"","Project Manager","","project_manager","company",0,"[[""User"",""role"",""="",""Projects Manager""]]","",0,0,"User",0,"",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Sales Order Item-custom_is_site_material","Sales Order Item","Check",0,"","Is Site Material","","is_site_material","reserve_stock",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation Item-custom_solar_base_rate","Quotation Item","Currency",0,"","Solar Base Rate","","solar_base_rate","base_price_list_rate",0,"","2",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_extra_cable_calculation","Quotation","Table",0,"","Extra Cable Calculation","","extra_cable_calculation","proposal_template",0,"","",0,0,"Cable Calculation Table",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_mount_type","Quotation","Select",0,"","Mount Type","","type_of_mounting","site_type",0,"","",0,0,"
Normal
Elevated
Profile Sheet
Others",0,"site_survey.type_of_mounting",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_site_type","Quotation","Select",0,"","Site Type","","site_type","solar_system_type",0,"","",0,0,"
RCC
Ground Mount
Shed (Profile Sheet)
Car Port (Parking)
RCC & Shed
RCC & Ground Mount
RCC & Parking
Shed & Ground Mount
Shed & Parking
Ground Mount & Parking
RCC, Shed, Ground Mount, Parking",0,"site_survey.site_type",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_solar_system_type","Quotation","Select",0,"","Solar System Type","","solar_system_type","solar_capacity",0,"","",0,0,"
On-Grid
Hybrid
Off-Grid",0,"site_survey.solar_system",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_column_break_6lcsk","Quotation","Column Break",0,"","","","custom_column_break_6lcsk","custom_correction_remark",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Supplier-custom_state","Supplier","Data",0,"","State","","custom_state","custom_city",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,"",0
"Supplier-custom_city","Supplier","Data",0,"","City","","custom_city","custom_pincode",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,"",0
"Supplier-custom_pincode","Supplier","Data",0,"","Pincode","","custom_pincode","custom_column_break_jwusl",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,"",0
"Supplier-custom_column_break_jwusl","Supplier","Column Break",0,"","","","custom_column_break_jwusl","add_line2",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Supplier-custom_add_line2","Supplier","Data",0,"","Add Line2","","add_line2","add_line1",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,"",0
"Supplier-custom_add_line1","Supplier","Data",0,"","Add Line1","","add_line1","custom_section_break_zgogv",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,"",0
"Supplier-custom_section_break_zgogv","Supplier","Section Break",0,"","","","custom_section_break_zgogv","email_id",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_project_tasks","Project","Table",0,"","Project Tasks","","project_tasks","custom_section_break_yjie5",0,"","",0,0,"Project Task Detail",0,"",0,0,"","","","","",0,0,0,0,0,1,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_section_break_yjie5","Project","Section Break",0,"","","","custom_section_break_yjie5","custom_inverter_photos",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_task_template","Project","Link",0,"","Task Template","","task_template","column_break_5",0,"","",0,0,"Project Task Template",0,"",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-sandwich_leave_marked","Attendance","Check",1,"","Sandwich Leave Marked","","sandwich_leave_marked","deduction_applied",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-deduction_applied","Attendance","Check",1,"","Deduction Applied","","deduction_applied","early_exit_deduction",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Set to 1 after leave balance is reduced on submit.",0,"",0
"Attendance-early_exit_deduction","Attendance","Float",1,"","Early Exit Deduction (Days)","","early_exit_deduction","late_entry_deduction",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Computed leave days deducted due to early exit.",0,"",0
"Attendance-late_entry_deduction","Attendance","Float",1,"","Late Entry Deduction (Days)","","late_entry_deduction","adv_hrms_att_col",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Computed leave days deducted due to late entry.",0,"",0
"Attendance-adv_hrms_att_col","Attendance","Column Break",1,"","","","adv_hrms_att_col","early_exit_minutes",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-early_exit_minutes","Attendance","Int",1,"","Early Exit (Minutes)","","early_exit_minutes","late_entry_minutes",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-late_entry_minutes","Attendance","Int",1,"","Late Entry (Minutes)","","late_entry_minutes","adv_hrms_att_section",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-adv_hrms_att_section","Attendance","Section Break",1,"","Advance HRMS","","adv_hrms_att_section","working_hours",0,"","",0,0,"",0,"",0,1,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee Checkin-early_exit_minutes","Employee Checkin","Int",1,"","Early Exit (Minutes)","","early_exit_minutes","early_exit",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minutes before shift end the employee checked out.",0,"",0
"Employee Checkin-adv_hrms_checkin_col","Employee Checkin","Column Break",1,"","","","adv_hrms_checkin_col","late_entry_minutes",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee Checkin-late_entry_minutes","Employee Checkin","Int",1,"","Late Entry (Minutes)","","late_entry_minutes","late_entry",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Minutes late from shift start (after grace period).",0,"",0
"Employee Checkin-adv_hrms_checkin_section","Employee Checkin","Section Break",1,"","Advance HRMS","","adv_hrms_checkin_section","shift_actual_end",0,"","",0,0,"",0,"",0,1,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee Checkin-photo","Employee Checkin","Attach Image",1,"","Photo","","photo","adv_area_photo_colmn",0,"","",0,0,"",0,"",0,1,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee Checkin-adv_area_photo_colmn","Employee Checkin","Column Break",1,"","","","adv_area_photo_colmn","area_name",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee Checkin-area_name","Employee Checkin","Small Text",1,"","Area Name","","area_name","area_img_section",0,"","",0,0,"",0,"",0,1,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee Checkin-area_img_section","Employee Checkin","Section Break",1,"","","","area_img_section","attendance",0,"","",0,0,"",0,"",0,1,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee-exempt_sandwich_leave","Employee","Check",1,"","Exempt from Sandwich Leave Rule","","exempt_sandwich_leave","adv_hrms_emp_col",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"If checked, sandwich leave rule will NOT apply to this employee.",0,"",0
"Employee-adv_hrms_emp_col","Employee","Column Break",1,"","","","adv_hrms_emp_col","exempt_early_exit",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee-exempt_early_exit","Employee","Check",1,"","Exempt from Early Exit Deduction","","exempt_early_exit","exempt_late_entry",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"If checked, early exit deduction will NOT apply to this employee.",0,"",0
"Employee-exempt_late_entry","Employee","Check",1,"","Exempt from Late Entry Deduction","","exempt_late_entry","adv_hrms_emp_section",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"If checked, late entry deduction will NOT apply to this employee.",0,"",0
"Employee-adv_hrms_emp_section","Employee","Section Break",1,"","Advance HRMS","","adv_hrms_emp_section","holiday_list",0,"","",0,0,"",0,"",0,1,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Delivery Note-custom_manager","Delivery Note","Link",0,"","Material Dispatch Manager","","manager","return_against",0,"","",0,0,"User",0,"",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Sales Order-custom_manager","Sales Order","Link",0,"","Payment/Account Manager","","manager","amended_from",0,"","",0,0,"User",0,"",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_manager","Quotation","Link",0,"","Proposal Manager","","manager","amended_from",0,"","",0,0,"User",0,"",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project Template-custom_days","Project Template","Int",0,"","Days Required","","days_req","tasks",0,"","",0,0,"",0,"",0,0,"","","","","",0,1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_projectend_date","Project","Date",0,"","Project(End Date)","","p_end_date","actual_end_date",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_projectstart_date","Project","Date",0,"","Project(Start Date)","","p_start_date","actual_time",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_is_revised","Quotation","Check",0,"","Is Revised","","is_revised","plant_category",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Lead-custom__advance","Lead","Float",0,"","% Advance","","per_advance","bill_amt",0,"","2",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_liaison__sync_status","Project","Data",0,"","Liaison & Sync Status","","liaison_sync_status","liaisoning_and_sync",0,"","",0,0,"",0,"",0,0,"","Not Create","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Sales Order-custom_liaison__sync_status","Sales Order","Data",0,"","Liaison & Sync Status","","liaison_sync_status","lias_sync_manager",0,"","",0,0,"",0,"",0,0,"","Not Created","","","",0,0,0,0,1,1,0,0,0,"",0,1,1,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Sales Order-custom_project_status","Sales Order","Data",0,"","Project Status","","project_status","project_manager",0,"","",0,0,"
Not Created
Created
In Progress
Completed",0,"",0,0,"","Not Created","","","",0,0,0,0,1,0,0,0,0,"",0,1,1,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_liaisoning_and_sync","Quotation","Data",0,"","Liaisoning And Sync","","liaisoning_and_sync","custom_column_break_labyl",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_proposal","Project","Data",0,"","Proposal","","proposal","status",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Sales Order-custom_proposal","Sales Order","Data",0,"","Proposal","","proposal","project",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_liaisoning_and_sync","Project","Data",0,"","Liaisoning And Sync","","liaisoning_and_sync","site_survey",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_site_survey","Project","Data",0,"","Site Survey","","site_survey","lead",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Sales Order-custom_liaisoning_and_sync","Sales Order","Data",0,"","Liaisoning And Sync","","liaisoning_and_sync","custom_column_break_mjfbt",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,1,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Sales Order-custom_site_survey","Sales Order","Data",0,"","Site Survey","","site_survey","liaisoning_and_sync",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_without_pay_order","Project","Select",0,"","Without Pay Order","","without_pay_reason","percent_complete",0,"","",0,0,"NO
GOODWILL APPROVAL
BANK FINANCE",0,"sales_order.without_pay_reason",0,0,"","NO","","","",0,0,0,0,1,0,0,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom__advance_amt","Project","Data",0,"","% Advance Amt","","per_advance","advance_amt",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Lead-custom_bill_amount","Lead","Currency",0,"","Bill Amount","","bill_amt","advance_amt",0,"","0",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Lead-custom_advance_amount","Lead","Currency",0,"","Advance Amount","","advance_amt","company",0,"","0",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_advance_amount","Project","Currency",0,"","Advance Amount","","advance_amt","bill_amt",0,"","0",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Work Order-custom_bill_amt","Work Order","Currency",0,"","Bill Amt","","bill_amt","solar_capacity",0,"","0",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Work Order-custom_capacity","Work Order","Data",0,"","Capacity","","solar_capacity","custom_column_break_lygos",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Work Order-custom_column_break_lygos","Work Order","Column Break",0,"","","","custom_column_break_lygos","plant_category",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Work Order-custom_orders_types","Work Order","Data",0,"","Orders Types","","plant_category","lead",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Work Order-custom_lead","Work Order","Data",0,"","Lead","","lead","custom_section_break_3z93k",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
